City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
127,Arraial do Cabo,BR,73.85,few clouds,-22.9661,-42.0278,Pousada Porto Praia
137,Nago,JP,70.41,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
138,Airai,TL,61.95,moderate rain,-8.9266,125.4092,Juvinal Martin
142,Charlestown,AU,62.96,scattered clouds,-32.95,151.6667,Panorama Motor Inn Hotel
143,Eskişehir,TR,72.88,light rain,39.7767,30.5206,Hotel ibis Eskisehir
145,Cascavel,BR,65.82,overcast clouds,-24.9558,-53.4553,Grand Prix Hotel
146,Port Alfred,ZA,71.35,clear sky,-33.5906,26.891,The Halyards Hotel
148,Chilca,PE,63.93,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
149,Beihai,CN,72.63,broken clouds,21.4833,109.1,21 Degree Hostel
158,Pitsunda,GE,65.21,broken clouds,43.1592,40.3378,Hotel FREEDOM
166,Inírida,CO,72.91,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
167,Nouadhibou,MR,65.5,overcast clouds,20.931,-17.0347,El Medina
173,Emerald,AU,74.95,light rain,-23.5333,148.1667,The Irish Village
174,Hong Kong,HK,73.62,scattered clouds,22.2855,114.1577,Mini Hotel Central
175,Safi,MA,61.43,clear sky,32.2994,-9.2372,Hôtel Abda
177,Shorāpur,IN,73.69,overcast clouds,16.5167,76.75,Government SC/ST Hostel Shorapur
181,Clarence Town,AU,60.53,broken clouds,-32.5833,151.7833,River Downs Cottage
185,Ciudad Bolivar,VE,73.76,broken clouds,8.1222,-63.5497,Hotel Edi
186,East London,ZA,72.82,clear sky,-33.0153,27.9116,Tu Casa
189,Chui,UY,62.69,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
195,Camacha,PT,62.06,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
208,Chiang Klang,TH,73.27,broken clouds,19.2938,100.8617,Sangthong Resort
216,Guerrero Negro,MX,62.89,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
219,Celestún,MX,74.01,overcast clouds,20.8667,-90.4,Posada Lilia
223,Bolu Province,TR,68.22,broken clouds,40.6667,31.5833,Sefa Green Hotel
224,Pisco,PE,63.9,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
230,Hūn,LY,66.9,overcast clouds,29.1268,15.9477,Alrwasi Hotel
231,Talas,TR,63.91,overcast clouds,38.6908,35.5538,Fimaj Residence
236,Geraldton,AU,67.84,clear sky,-28.7667,114.6,Broadwater Mariner Resort
238,Tura,IN,64.47,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
239,Rio Grande,BR,65.05,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
240,Rawson,AR,62.85,few clouds,-43.3002,-65.1023,Hosteria Sampedro
252,Esperance,AU,62.98,light rain,-33.8667,121.9,Hospitality Esperance
253,Santo Ângelo,BR,65.37,clear sky,-28.2992,-54.2631,Hotel Nova Esperança Aberto 24h
256,Sirte,LY,63.68,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
260,Kumluca,TR,71.17,scattered clouds,36.3703,30.2869,TurkuazKöy
269,Kaeo,NZ,61.34,overcast clouds,-35.1,173.7833,Bushido Lodge
270,Hualmay,PE,64.83,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
271,Castro,BR,73.38,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
