City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Puerto Ayora,EC,2021-11-24 21:21:01,-0.7393,-90.3518,80.56,71,66,11.45
181,Mangaratiba,BR,2021-11-24 21:21:01,-22.9597,-44.0406,75.02,84,69,3.62
182,Baruun-Urt,MN,2021-11-24 21:21:02,46.6806,113.2792,6.73,90,30,4.79
183,Andenes,NO,2021-11-24 21:22:02,69.3143,16.1194,22.98,86,0,4.61
184,Ferkessedougou,CI,2021-11-24 21:22:03,9.6,-5.2,81.5,22,90,1.21
185,Norman Wells,CA,2021-11-24 21:22:03,65.282,-126.8329,-25.56,68,40,3.44
186,Soyo,AO,2021-11-24 21:22:04,-6.1349,12.3689,78.28,81,100,7.43
187,Barrow,US,2021-11-24 21:22:04,71.2906,-156.7887,-2.18,78,90,14.97
188,Galle,LK,2021-11-24 21:22:05,6.0367,80.217,77.49,89,99,9.62
189,Makakilo City,US,2021-11-24 21:19:30,21.3469,-158.0858,82.72,52,75,5.75
190,Crowley,US,2021-11-24 21:21:19,30.2141,-92.3746,74.98,68,72,9.15
191,Alofi,NU,2021-11-24 21:22:05,-19.0595,-169.9187,84.09,70,40,6.91
192,Aswan,EG,2021-11-24 21:20:04,24.0934,32.907,69.1,30,76,8.03
193,Hualmay,PE,2021-11-24 21:22:06,-11.0964,-77.6139,69.51,76,86,10.27
194,Calbuco,CL,2021-11-24 21:22:07,-41.768,-73.1273,65.41,74,78,10.76
195,Muroto,JP,2021-11-24 21:22:08,33.2833,134.15,56.16,65,5,14.18
196,Kurilsk,RU,2021-11-24 21:22:08,45.2333,147.8833,35.37,68,83,12.44
197,Ancud,CL,2021-11-24 21:22:09,-41.8697,-73.8203,62.13,85,91,12.77
198,Jardim,BR,2021-11-24 21:22:09,-21.4803,-56.1381,89.15,50,87,6.2
199,Sal Rei,CV,2021-11-24 21:22:09,16.1833,-22.9167,77.56,79,92,7.81
200,Nouakchott,MR,2021-11-24 21:20:13,18.0858,-15.9785,85.37,35,100,6.11
201,Pevek,RU,2021-11-24 21:22:10,69.7008,170.3133,-19.08,93,100,1.23
202,Japura,ID,2021-11-24 21:22:10,-0.3167,102.35,74.34,96,100,0.45
203,Kruisfontein,ZA,2021-11-24 21:20:15,-34.0033,24.7314,57.88,86,6,3.22
204,Ambon,ID,2021-11-24 21:18:27,-3.6954,128.1814,77.14,94,40,8.05
205,Atbasar,KZ,2021-11-24 21:22:11,51.8,68.3333,18.37,95,100,6.58
206,Havelock,US,2021-11-24 21:22:12,34.8791,-76.9013,52.05,39,1,1.99
207,Constitucion,CL,2021-11-24 21:22:12,-35.3333,-72.4167,60.57,73,8,10.22
208,Svetlaya,RU,2021-11-24 21:22:13,46.5389,138.3297,14.04,76,5,9.91
209,Ponta Do Sol,PT,2021-11-24 21:22:13,32.6667,-17.1,65.71,67,84,10.11
210,Geraldton,AU,2021-11-24 21:22:13,-28.7667,114.6,61.21,63,0,6.91
211,Camacha,PT,2021-11-24 21:22:14,33.0833,-16.3333,62.02,52,75,8.05
212,Acajutla,SV,2021-11-24 21:22:14,13.5928,-89.8275,86.36,46,67,7.58
213,Gat,IL,2021-11-24 21:20:32,31.61,34.7642,63.39,69,99,4.23
214,Port Hedland,AU,2021-11-24 21:19:20,-20.3167,118.5667,80.65,24,100,8.05
215,Peleduy,RU,2021-11-24 21:22:15,59.6289,112.7406,0.36,95,100,1.52
216,Tautira,PF,2021-11-24 21:22:16,-17.7333,-149.15,86.02,77,41,8.57
217,Gweta,BW,2021-11-24 21:22:16,-20.1833,25.2333,80.83,16,0,4.45
218,Boa Vista,BR,2021-11-24 21:22:17,2.8197,-60.6733,93.18,40,40,10.36
219,Flinders,AU,2021-11-24 21:18:28,-34.5833,150.8552,71.19,93,100,1.01
220,Sitka,US,2021-11-24 21:22:17,57.0531,-135.33,44.49,65,90,20.71
221,Port Elizabeth,ZA,2021-11-24 21:22:18,-33.918,25.5701,62.89,77,40,10.36
