City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Saint Paul Harbor,US,57.79,-152.4072,25.23,94,100,20.2,snow
227,Qazvin,IR,36.2797,50.0049,58.15,42,0,2.42,clear sky
228,Lahat,ID,-3.8,103.5333,77.02,81,98,3.69,overcast clouds
229,General Bravo,MX,25.8,-99.1667,58.86,86,39,5.41,scattered clouds
230,Hūn,LY,29.1268,15.9477,66.9,19,87,16.84,overcast clouds
231,Talas,TR,38.6908,35.5538,63.91,42,99,2.51,overcast clouds
232,Fortuna,US,40.5982,-124.1573,51.12,95,47,4.74,scattered clouds
233,Narsaq,GL,60.9167,-46.05,36.32,93,99,9.95,light rain
234,Sinnamary,GF,5.3833,-52.95,78.22,89,99,7.58,overcast clouds
235,Ol'ga,RU,43.7444,135.2892,34.0,70,30,9.44,scattered clouds
236,Geraldton,AU,-28.7667,114.6,67.84,79,0,19.24,clear sky
237,Ziro,IN,27.6333,93.8333,45.64,67,11,0.96,few clouds
238,Tura,IN,25.5198,90.2201,64.47,78,26,3.06,scattered clouds
239,Rio Grande,BR,-32.035,-52.0986,65.05,77,13,19.19,few clouds
240,Rawson,AR,-43.3002,-65.1023,62.85,42,22,20.85,few clouds
241,Laurinburg,US,34.7741,-79.4628,42.13,57,16,13.38,few clouds
242,Waingapu,ID,-9.6567,120.2641,80.6,79,100,2.66,heavy intensity rain
243,Aranos,NA,-24.1333,19.1167,96.12,5,0,13.18,clear sky
244,Prince Rupert,CA,54.3161,-130.3201,35.13,89,82,5.19,broken clouds
245,Salalah,OM,17.0151,54.0924,88.66,32,0,10.96,clear sky
246,Ust'-Kut,RU,56.7938,105.7672,20.12,86,100,12.91,overcast clouds
247,Binga,ZW,-17.6203,27.3414,91.89,30,6,7.23,clear sky
248,Barra do Corda,BR,-5.5,-45.25,79.81,77,88,3.83,overcast clouds
249,Hofn,IS,64.2539,-15.2082,32.45,65,84,15.23,broken clouds
250,Borogontsy,RU,62.6683,131.1683,-12.17,99,99,1.14,overcast clouds
251,Shirokiy,RU,49.758,129.523,-10.12,99,41,1.23,scattered clouds
252,Esperance,AU,-33.8667,121.9,62.98,80,52,11.7,light rain
253,Santo Ângelo,BR,-28.2992,-54.2631,65.37,73,0,13.13,clear sky
254,Ciriè,IT,45.2351,7.5988,46.06,28,67,0.04,broken clouds
255,Saint-François,FR,46.4154,3.9054,32.77,95,100,8.7,overcast clouds
256,Sirte,LY,31.2089,16.5887,63.68,29,89,22.12,overcast clouds
257,Bamnet Narong,TH,15.4992,101.6897,75.69,60,81,8.48,broken clouds
258,Verāval,IN,20.9,70.3667,84.29,45,96,6.53,overcast clouds
259,Le Port,RE,-20.9373,55.2919,76.06,87,69,2.98,light rain
260,Kumluca,TR,36.3703,30.2869,71.17,66,33,7.81,scattered clouds
261,Haines Junction,CA,60.7522,-137.5108,-12.53,100,99,1.95,overcast clouds
262,Hasaki,JP,35.7333,140.8333,57.78,57,52,10.42,broken clouds
263,Kjøpsvik,NO,68.097,16.3742,21.58,91,100,8.48,light snow
264,Dhidhdhoo,MV,6.8833,73.1,80.64,78,99,9.89,overcast clouds
265,Al Bardīyah,LY,31.7561,25.0865,80.62,27,100,19.84,overcast clouds
266,Bīdar,IN,17.9,77.55,76.82,60,76,7.34,broken clouds
267,Brae,GB,60.3964,-1.353,38.07,97,100,31.29,overcast clouds
